# D,S,E,I_1,A,A_d,I_2,Y,R
1.636240165680646896e-03,2.136112620109468116e+04,2.088527741353805322e+04,3.316166999775655568e+05,4.602295747232975555e+04,4.561984745389307500e+04,3.865986878559012257e+04,2.111858416516816578e+04,4.747156368945805589e+05
1.955874729901552200e-03,1.408531585833693680e+04,1.228391381651563643e+04,2.854902483034600154e+05,4.101813772245773725e+04,4.437052573010954075e+04,3.490568846110163577e+04,2.079319809163678292e+04,5.470529700605070684e+05
2.264574752189218998e-03,9.810474878111193902e+03,7.234923602813464640e+03,2.418763594189021096e+05,3.564620886429848906e+04,4.160421303256043757e+04,3.067043736891276785e+04,1.971988736522832187e+04,6.134374932045985479e+05
2.552839461714029312e-03,7.200612532092162837e+03,4.329622052511758739e+03,2.027837102596971381e+05,3.043399792446921492e+04,3.788730810591468617e+04,2.642192799549217671e+04,1.814394890362906153e+04,6.727988696733543184e+05
2.814794424921274185e-03,5.543582502467665108e+03,2.614152245383533227e+03,1.689016271503210301e+05,2.564285332596638909e+04,3.372738280464831769e+04,2.242974368947574840e+04,1.629736480987442701e+04,7.248432906570684863e+05
3.047775244340300560e-03,4.450887405555727128e+03,1.669318965565608096e+03,1.399742987762332486e+05,2.145403882817379053e+04,2.947366352991013991e+04,1.886476202041295983e+04,1.435529538465547375e+04,7.697577320417178562e+05
3.251446178182959557e-03,3.706033364820103543e+03,1.108408616865385738e+03,1.156542345064371184e+05,1.785089188338057284e+04,2.539124428464589437e+04,1.575423240615913528e+04,1.245254264250613960e+04,8.080824090437394334e+05
3.427061601541936398e-03,3.182911480969683907e+03,7.593724768077556746e+02,9.537352214011730393e+04,1.479028260808950836e+04,2.163870689190085977e+04,1.308932083164786309e+04,1.067324970824193952e+04,8.404926304351635044e+05
3.576765768229961395e-03,2.806133018715555409e+03,4.566459383672197418e+02,7.864178179416719649e+04,1.215629246631363640e+04,1.832665426856511476e+04,1.081311550712460667e+04,9.070860998937565455e+03,8.677285124310434330e+05
3.703549620695412159e-03,2.528403116262387357e+03,3.631224358891496991e+02,6.465026739415309567e+04,1.005364239375582292e+04,1.536562804917903122e+04,8.940581894410146560e+03,7.640366799893720781e+03,8.904579842129070312e+05
3.810036228969693184e-03,2.320152839143311212e+03,2.665294082614562399e+02,5.315307160148896219e+04,8.278267747070362020e+03,1.283370517480873968e+04,7.369888050974939688e+03,6.401417478015896450e+03,9.093769638902001316e+05
3.899050876498222351e-03,2.161504772450403379e+03,2.008171933390574395e+02,4.367638115755348554e+04,6.810507020959010333e+03,1.067618766054610023e+04,6.067792756084741995e+03,5.338749677810457797e+03,9.250680558622058015e+05
3.973149810917675495e-03,2.039091648176267881e+03,1.489111735150548839e+02,3.588182962415937072e+04,5.596394792157865595e+03,8.855580456562172913e+03,4.990007579420297589e+03,4.436992310482850371e+03,9.380511884423763258e+05
4.034647485241293907e-03,1.943603594951106061e+03,1.164558801028017712e+02,2.946342976784345228e+04,4.599147130517886580e+03,7.326254756511802043e+03,4.102176512768782231e+03,3.676743689402160726e+03,9.487721846332545392e+05
4.085551481693983078e-03,1.868466929393680857e+03,9.078000209953746946e+01,2.418953147868801898e+04,3.777488739176755189e+03,6.050132609289958054e+03,3.370354307784252342e+03,3.040187067753499377e+03,9.576130547802628716e+05
4.127607913687825203e-03,1.808905126242306324e+03,7.237655932989972030e+01,1.985499451909311756e+04,3.102628101238286035e+03,4.988406979556547412e+03,2.768389124095836905e+03,2.509379859883858444e+03,9.648949156029523583e+05
