fitness: 6462.1117883863489624
E: 0.0020000000000000
I_1: 0.0020000000000000
A: 32.7689999999999984
beta: 0.8943195365834526
phi: 0.0280859110525903
epsilon_i: 0.0859877275267797
epsilon_Y: 0.0005345353167602
sigma: 0.0650131226492361
gamma_1: 0.0634326323259779
gamma_2: 0.0478765156909235
kappa: 0.0534794257293898
p: 0.3618457085439972
alpha: 0.0410030203966325
delta: 0.0140518096856739
D,S,E,I_1,A,A_d,I_2,Y,R
0.0002742215292528,999935.0668537619058043,29.1945004470141924,0.9491881483446241,29.6231661908727943,2.5800814525193747,0.9221942820651667,0.0381007951674198,1.6256407006041413
0.0010492256842554,999906.3294642964610830,55.1731647228508493,3.5725446690524465,26.8508366933122247,3.9317225636710904,0.8910637077969144,0.0716440418317145,3.1785100793810881
0.0022790976800025,999878.7573591589462012,78.3899075707483064,7.5807947423942137,24.4746809313838440,5.0857646346639811,0.9361179219895316,0.1033827029241316,4.6697132392128227
0.0039629264501855,999852.0369208668125793,99.3224700996318006,12.7299517295347062,22.5049001866345719,6.0724490009799110,1.0784892625444338,0.1369033877522886,6.1139525396156351
0.0061539673479274,999825.8132759719155729,118.4583960146966746,18.8215048422945195,20.9422172842868868,6.9208743223192135,1.3326652593374722,0.1762786619791244,7.5286336760119941
0.0089645382249728,999799.7020396974403411,136.2830592944486057,25.6998407088786678,19.7804923450440455,7.6586254915907785,1.7080248830461504,0.2258051777752924,8.9331478635902375
0.0125677627511322,999773.2982221990823746,153.2711919095030453,33.2491834668568771,19.0089768976359004,8.3115468922984785,2.2101816789365825,0.2898147101857111,10.3483144825703945
0.0171971000963822,999746.1826082480838522,169.8813893954188359,41.3902866540583148,18.6142273974333463,8.9036348937720948,2.8421423233714909,0.3725461998841320,11.7959677876837326
0.0231444411911070,999717.9259159642970189,186.5531109957686908,50.0770641332119482,18.5817052293704421,9.4570269160856739,3.6052930149049907,0.4780680389758217,13.2986712661992250
0.0307574083562940,999688.0910251080058515,203.7057361865278438,59.2933067450736928,18.8970940600267880,9.9920669786812262,4.5002287065555473,0.6102410322896250,14.8795437743565966
0.0404363749548793,999656.2335439113667235,221.7392878426017262,69.0495962962255589,19.5473673718160512,10.5274302562900655,5.5274417305266725,0.7727136719259189,16.5621825442795263
0.0526315955212340,999621.9009576117387041,241.0364818629541617,79.3804986534333636,20.5216395435356702,11.0802917167251938,6.6878870683626657,0.9689425396095684,18.3706694080360720
0.0678407710511237,999584.6305734273046255,261.9658119976233479,90.3420928254344204,21.8118332710203475,11.6665263442346383,7.9834415620708521,1.2022317716043074,20.3296480295617705
0.0866072664503008,999543.9464471185347065,284.8854256267439382,102.0098725785471458,23.4131947384381469,12.3009307153253147,9.4172739055412649,1.4757865650660451,22.4644614852197577
0.1095191577915102,999499.3554465196793899,310.1475904137244015,114.4770409227358670,25.3246860002492475,12.9974577632440838,10.9941414383741929,1.7927766603240083,24.8013411238478376
0.1372092202072963,999450.3425783599959686,338.1035924915779560,127.8532052668796268,27.5492817206711180,13.7694584276421530,12.7206287022615658,2.1564065940485744,27.3676392166002813
0.1703559389570728,999396.3656768675427884,369.1089438001118310,142.2634717218888341,30.0941949090411995,14.6299255327344593,14.6053415097329395,2.5699902815720885,30.1920994384152124
0.2096855839481577,999336.8495264699449763,403.5288092358607059,157.8479304869057955,32.9710537197480562,15.5917366739457641,16.6590689947149784,3.0370281543386266,33.3051606805524898
0.2559753820532933,999271.1794665863271803,441.7435934318918385,174.7615200698345177,36.1960488589518405,16.6678941291110227,18.8949248262000857,3.5612856548306779,36.7392910608934997
0.3100577967707068,999198.6945041577564552,484.1546523985712724,193.1742558831607539,39.7900687361311469,17.8717608595787780,21.3284775184944984,4.1468723825356033,40.5293502669420320
0.3728259222116321,999118.6799391910899431,531.1901171661423859,213.2718081695130081,43.7788372738020186,19.2172925457703414,23.9778785999684381,4.7983215980521727,44.7129795333994551
0.4452399973524734,999030.3594900867901742,583.3108352729332182,235.2564149374051965,48.1930672825464796,20.7192663292917487,26.8639963325959172,5.5206701365387145,49.3310196244727948
